	Pan12.DNA	Pan1.RNA	Pan10.DNA	Pan10.RNA	Pan12.RNA	Pan2.RNA	Pan19.DNA	Pan3.RNA	Pan14.DNA	Pan1.DNA	Pan11.DNA	Pan11.RNA	Pan13.DNA	Pan15.RNA	Pan15.DNA	Pan13.RNA	Pan31.DNA	Pan19.RNA	Pan23.DNA	Pan18.RNA	Pan16.RNA	Pan18.DNA	Pan17.DNA	Pan14.RNA	Pan17.RNA	Pan8.RNA	Pan2.DNA	Pan16.DNA	Pan20.RNA	Pan20.DNA	Pan7.RNA	Pan4.RNA	Pan21.RNA	Pan21.DNA	Pan36.DNA	Pan22.DNA	Pan30.DNA	Pan29.DNA	Pan25.DNA	Pan28.RNA	Pan35.DNA	Pan26.DNA	Pan26.RNA	Pan33.RNA	Pan27.DNA	Pan6.RNA	Pan27.RNA	Pan30.RNA	Pan24.RNA	Pan5.RNA	Pan3.DNA	Pan39.RNA	Pan28.DNA	Pan33.DNA	Pan34.RNA	Pan32.RNA	Pan34.DNA	Pan31.RNA	Pan38.RNA	Pan29.RNA	Pan35.RNA	Pan4.DNA	Pan37.DNA	Pan9.DNA	Pan36.RNA	Pan5.DNA	Pan7.DNA	Pan6.DNA	Pan40.RNA	Pan37.RNA	Pan9.RNA	Pan38.DNA	Pan41.DNA	Pan44.DNA	BR33.DNA	PA216.DNA	BR30.RNA	BR26.RNA	BR33.RNA	BR47.DNA	PA202.RNA	BR21.RNA	PA216.RNA	BR29.DNA	BR15.DNA	BR24.DNA	BR31.DNA	BR22.DNA	BR10.DNA	BR15.RNA	BR35.RNA	BR24.RNA	BR17.RNA	BR12.RNA	BR29.RNA	BR47.RNA	BR10.RNA	BR22.RNA	BR31.RNA	BR27.DNA	BR42.DNA	BR16.DNA	BR9.RNA	PA130.RNA	BR25.DNA	PA2042.RNA	BR34.DNA	BR2.DNA	BR18.DNA	BR27.RNA	BR48.DNA	BR11.DNA	BR16.RNA	BR13.DNA	BR4.RNA	BR2.RNA	BR32.DNA	BR23.DNA	BR1.DNA	BR18.RNA	BR36.DNA	BR3.DNA	BR25.RNA	BR42.RNA	PA203.DNA	BR20.DNA	BR11.RNA	BR34.RNA	BR1.RNA	BR23.RNA	BR28.DNA	BREC.DNA	BR36.RNA	BR48.RNA	BR19.DNA	BR3.RNA	BR44.RNA	BR14.DNA	BR12.DNA	BR20.RNA	BR43.DNA	PA203.RNA	BR32.RNA	BR17.DNA	BREC.RNA	BR51.DNA	BR19.RNA	BR26.DNA	BR30.DNA	BR37.DNA	BR62.RNA	BR38.RNA	BR56.DNA	BR28.RNA	BR49.RNA	BR51.RNA	BR40.DNA	BR21.DNA	PA204.RNA	BR43.RNA	PA135.DNA	PA108.DNA	BR77.RNA	BR53.RNA	BR45.DNA	BR37.RNA	BR40.RNA	BR60.DNA	BR39.DNA	BR52.DNA	BR56.RNA	BR58.RNA	BR5.DNA	BR75.DNA	BR63.DNA	BR70.DNA	BR45.RNA	BR60.RNA	BR67.RNA	BR59.DNA	BR54.DNA	BR35.DNA	BR52.RNA	BR78.DNA	BR39.RNA	BR41.DNA	BR63.RNA	BR50.DNA	PA135.RNA	BR4.DNA	BR46.DNA	BR75.RNA	BR59.RNA	BR70.RNA	BR44.DNA	BR54.RNA	BR65.DNA	BR69.DNA	PA110.DNA	BR72.RNA	BR57.DNA	BR46.RNA	BR61.DNA	PA118.RNA	BR50.RNA	BR65.RNA	BR61.RNA	BR8.DNA	BR57.RNA	BR55.DNA	BR49.DNA	BR71.RNA	BR6.DNA	BR73.DNA	BR69.RNA	BR64.DNA	PA129.DNA	BR55.RNA	PA110.RNA	BR53.DNA	BR8.RNA	PA207.RNA	BR73.RNA	BR58.DNA	BR66.DNA	PA1182.DNA	BR6.RNA	PA12.DNA	PA108.RNA	PA219.RNA	PA212.RNA	BR74.DNA	BR66.RNA	PA126.RNA	PA129.RNA	BR76.DNA	BR64.RNA	PA113.DNA	BR80.DNA	PA131.DNA	BR62.DNA	PA12.RNA	PA196.RNA	PA136.DNA	PA1182.RNA	PA22.DNA	BR78.RNA	PA127.DNA	BR7.DNA	BR76.RNA	PA208.DNA	BR67.DNA	PA55.DNA	BR80.RNA	PA119.DNA	PA22.RNA	PA13.DNA	PA131.RNA	PA113.RNA	BR7.RNA	PA145.DNA	PA127.RNA	BR72.DNA	PA15.DNA	PA125.DNA	BR74.RNA	BR79.DNA	PA55.RNA	BR9.DNA	PA14.RNA	PA220.DNA	BR77.DNA	PA119.RNA	BR79.RNA	PA151.RNA	PA145.RNA	PA155.DNA	PA136.RNA	PA213.DNA	PA128.DNA	PA132.DNA	PA208.RNA	PA15.RNA	PA62.DNA	PA141.DNA	PA118.DNA	PA125.RNA	PA197.DNA	PA200.DNA	PA148.DNA	PA194.DNA	PA210.DNA	PA153.DNA	PA205.DNA	PA146.DNA	PA17.RNA	PA128.RNA	PA13.RNA	PA148.RNA	PA155.RNA	PA126.DNA	PA141.RNA	PA200.RNA	PA197.RNA	PA132.RNA	PA78.DNA	PA210.RNA	PA18.DNA	PA153.RNA	PA150.DNA	PA206.DNA	PA258.DNA	PA40.RNA	PA213.RNA	PA130.DNA	PA146.RNA	PA198.DNA	PA144.DNA	PA149.DNA	PA195.DNA	PA18.RNA	PA16.DNA	PA150.RNA	PA220.RNA	PA206.RNA	PA14.DNA	PA201.DNA	PA154.DNA	PA144.RNA	PA211.DNA	PA239.DNA	PA218.DNA	PA147.DNA	PA41.DNA	PA149.RNA	PA225.RNA	PA201.RNA	PA19.DNA	PA154.RNA	PA17.DNA	PA2042.DNA	PA151.DNA	PA38.DNA	PA241.RNA	PA78.RNA	PA195.RNA	PA86.RNA	PA223.DNA	PA202.DNA	PA50.RNA	PA73.DNA	PA19.RNA	PA63.RNA	PA207.DNA	PA218.RNA	PA211.RNA	PA198.RNA	PA196.DNA	PA242.DNA	PA21.DNA	PA92.DNA	PA258.RNA	PA223.RNA	PA214.DNA	PA2252.DNA	PA239.RNA	PA73.RNA	PA64.DNA	PA21.RNA	PA98.DNA	PA41.RNA	PA212.DNA	PA48.DNA	PA26.DNA	PA45.RNA	PA219.DNA	PA24.DNA	PA70.RNA	PA92.RNA	PA38.RNA	PA214.RNA	PA28.RNA	PA48.RNA	PA66.DNA	PA83.DNA	PA74.DNA	PA242.RNA	PA98.RNA	PA224.DNA	PA46.DNA	PA79.DNA	PA75.RNA	PA80.RNA	PA94.DNA	PA66.RNA	PA51.DNA	PA64.RNA	PA71.DNA	PA49.DNA	PA43.DNA	PA99.DNA	PA24.RNA	PA94.RNA	PA36.DNA	PA39.DNA	PA83.RNA	PA42.DNA	PA74.RNA	PA93.DNA	PA46.RNA	PA71.RNA	PA26.RNA	PA65.DNA	PA68.DNA	PA2252.RNA	PA76.DNA	PA51.RNA	PA49.RNA	PA36.RNA	PA81.DNA	PA85.DNA	PA25.DNA	PA96.DNA	PA79.RNA	PA39.RNA	PA224.RNA	PA62.RNA	PA72.DNA	PA44.RNA	PA50.DNA	PA47.DNA	PA76.RNA	PA37.DNA	PA23.DNA	PA93.RNA	PA52.DNA	PA96.RNA	PA65.RNA	PA85.RNA	PA68.RNA	PA241.DNA	PA42.RNA	PA99.RNA	PA82.DNA	PA225.DNA	PA77.DNA	PA25.RNA	PA72.RNA	PA47.RNA	PA63.DNA	PA23.RNA	PA75.DNA	PA37.RNA	PA97.DNA	PA40.DNA	PA45.DNA	PA52.RNA	PA28.DNA	PA80.DNA	PA70.DNA	PA82.RNA	PA86.DNA	PA77.RNA
890b77af3f95edacdf9d04d79dc1d5f6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	17	1	0	0	0	0	0	0	0	20	0	0	0	0	0	0	9	0	0	0	0	39	4	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	7	14	0	0	0	0	0	0	0	3	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	21	0	8	0	2	0	14	0	0	0	0	0	17	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
890bf65548adfcab05628940596c8436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8913d2aa12c5143e347f3494343a64a8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8914e084d7b340bef361c5ab58648296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8915dcb5bc4aea3f82236a7b4ccfaee9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89174391c16a9aa29033fcef96be6f1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
8918fd403e1ee94cdd1cca817fc6786a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
891912aa52f3730987535796134d6083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	49	0	0	3	0	0	0	0	2	83	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
891dfcdf57f281871c2340bb4f00471c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	14	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	13	0	0	0	5	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	0	8	0	0	11	7	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
891e126391b10957ebd9feae79fb6c64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	11	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
